Slot No, Average Power (Watt),URL Path,Arrival Rate,Response Average,VM Number,VCPU
0,0,http://azureauto.cloudapp.net/,1,488.8282443,1,20
1,0,http://azureauto.cloudapp.net/,1,390.8690909,1,20
2,0,http://azureauto.cloudapp.net/,20,87.49613315,1,20
3,0,http://azureauto.cloudapp.net/,90,88.61433434,1,20
4,0,http://azureauto.cloudapp.net/,160,97.61616116,1,20
5,0,http://azureauto.cloudapp.net/,210,106.5383985,1,20
6,0,http://azureauto.cloudapp.net/,230,111.6598167,1,20
7,0,http://azureauto.cloudapp.net/,250,119.5780605,1,20
8,0,http://azureauto.cloudapp.net/,270,125.3663864,1,20
9,0,http://azureauto.cloudapp.net/,290,137.2736244,1,20
10,0,http://azureauto.cloudapp.net/,310,154.0701758,1,20
11,0,http://azureauto.cloudapp.net/,330,183.7062813,1,20
12,0,http://azureauto.cloudapp.net/,350,226.9260093,1,20
13,0,http://azureauto.cloudapp.net/,370,312.0255393,1,20
14,0,http://azureauto.cloudapp.net/,381.3333333,1819.966711,1,20
15,0,http://azureauto.cloudapp.net/,396,4611.985752,1,20
16,0,http://azureauto.cloudapp.net/,410.6666667,17192.98186,1,20
17,0,http://azureauto.cloudapp.net/,425.3333333,28915.47495,1,20
18,0,http://azureauto.cloudapp.net/,440,24020.75726,1,20
19,0,http://azureauto.cloudapp.net/,1,83.46984127,1,19
20,0,http://azureauto.cloudapp.net/,1,85.08304498,1,19
21,0,http://azureauto.cloudapp.net/,19,78.77795112,1,19
22,0,http://azureauto.cloudapp.net/,85.5,90.45386142,1,19
23,0,http://azureauto.cloudapp.net/,152,97.50739712,1,19
24,0,http://azureauto.cloudapp.net/,199.5,105.5506454,1,19
25,0,http://azureauto.cloudapp.net/,218.5,112.2476714,1,19
26,0,http://azureauto.cloudapp.net/,237.5,117.970596,1,19
27,0,http://azureauto.cloudapp.net/,256.5,127.467721,1,19
28,0,http://azureauto.cloudapp.net/,275.5,140.9232452,1,19
29,0,http://azureauto.cloudapp.net/,294.5,154.7548322,1,19
30,0,http://azureauto.cloudapp.net/,313.5,235.80939,1,19
31,0,http://azureauto.cloudapp.net/,332.5,224.7599623,1,19
32,0,http://azureauto.cloudapp.net/,351.5,377.0492223,1,19
33,0,http://azureauto.cloudapp.net/,362.2666667,560.678905,1,19
34,0,http://azureauto.cloudapp.net/,376.2,719.860558,1,19
35,0,http://azureauto.cloudapp.net/,390.1333333,4642.779794,1,19
36,0,http://azureauto.cloudapp.net/,404.0666667,3878.43017,1,19
37,0,http://azureauto.cloudapp.net/,418,3849.032036,1,19
38,0,http://azureauto.cloudapp.net/,1,79.31103679,1,18
39,0,http://azureauto.cloudapp.net/,1,90.30960854,1,18
40,0,http://azureauto.cloudapp.net/,18,80.65494547,1,18
41,0,http://azureauto.cloudapp.net/,81,87.8172759,1,18
42,0,http://azureauto.cloudapp.net/,144,96.76720521,1,18
43,0,http://azureauto.cloudapp.net/,189,106.5448481,1,18
44,0,http://azureauto.cloudapp.net/,207,113.0239284,1,18
45,0,http://azureauto.cloudapp.net/,225,116.5344064,1,18
46,0,http://azureauto.cloudapp.net/,243,128.8212847,1,18
47,0,http://azureauto.cloudapp.net/,261,138.585362,1,18
48,0,http://azureauto.cloudapp.net/,279,151.2599655,1,18
49,0,http://azureauto.cloudapp.net/,297,177.6191816,1,18
50,0,http://azureauto.cloudapp.net/,315,225.7363379,1,18
51,0,http://azureauto.cloudapp.net/,333,281.3471715,1,18
52,0,http://azureauto.cloudapp.net/,343.2,346.3055498,1,18
53,0,http://azureauto.cloudapp.net/,356.4,566.6794367,1,18
54,0,http://azureauto.cloudapp.net/,369.6,896.7783101,1,18
55,0,http://azureauto.cloudapp.net/,382.8,3800.702057,1,18
56,0,http://azureauto.cloudapp.net/,396,6607.000716,1,18
57,0,http://azureauto.cloudapp.net/,1,85.75974026,1,17
58,0,http://azureauto.cloudapp.net/,1,84.70890411,1,17
59,0,http://azureauto.cloudapp.net/,17,80.16623991,1,17
60,0,http://azureauto.cloudapp.net/,76.5,87.26978938,1,17
61,0,http://azureauto.cloudapp.net/,136,95.86377072,1,17
62,0,http://azureauto.cloudapp.net/,178.5,104.9789016,1,17
63,0,http://azureauto.cloudapp.net/,195.5,111.275991,1,17
64,0,http://azureauto.cloudapp.net/,212.5,116.705478,1,17
65,0,http://azureauto.cloudapp.net/,229.5,124.6523366,1,17
66,0,http://azureauto.cloudapp.net/,246.5,134.44894,1,17
67,0,http://azureauto.cloudapp.net/,263.5,152.9298271,1,17
68,0,http://azureauto.cloudapp.net/,280.5,170.2797053,1,17
69,0,http://azureauto.cloudapp.net/,297.5,199.9754268,1,17
70,0,http://azureauto.cloudapp.net/,314.5,281.6903443,1,17
71,0,http://azureauto.cloudapp.net/,324.1333333,341.7400426,1,17
72,0,http://azureauto.cloudapp.net/,336.6,500.572132,1,17
73,0,http://azureauto.cloudapp.net/,349.0666667,1258.457572,1,17
74,0,http://azureauto.cloudapp.net/,361.5333333,2802.01913,1,17
75,0,http://azureauto.cloudapp.net/,374,4593.810354,1,17
76,0,http://azureauto.cloudapp.net/,1,81.53818182,1,16
77,0,http://azureauto.cloudapp.net/,1,80.76816609,1,16
78,0,http://azureauto.cloudapp.net/,16,80.24541284,1,16
79,0,http://azureauto.cloudapp.net/,72,87.24804621,1,16
80,0,http://azureauto.cloudapp.net/,128,97.28212227,1,16
81,0,http://azureauto.cloudapp.net/,168,107.4326549,1,16
82,0,http://azureauto.cloudapp.net/,184,108.8660215,1,16
83,0,http://azureauto.cloudapp.net/,200,117.6999477,1,16
84,0,http://azureauto.cloudapp.net/,216,124.0667784,1,16
85,0,http://azureauto.cloudapp.net/,232,139.7141756,1,16
86,0,http://azureauto.cloudapp.net/,248,152.655918,1,16
87,0,http://azureauto.cloudapp.net/,264,163.6808626,1,16
88,0,http://azureauto.cloudapp.net/,280,207.1742116,1,16
89,0,http://azureauto.cloudapp.net/,296,256.0526429,1,16
90,0,http://azureauto.cloudapp.net/,305.0666667,291.3096486,1,16
91,0,http://azureauto.cloudapp.net/,316.8,417.5146788,1,16
92,0,http://azureauto.cloudapp.net/,328.5333333,629.3785544,1,16
93,0,http://azureauto.cloudapp.net/,340.2666667,1372.838165,1,16
94,0,http://azureauto.cloudapp.net/,352,5192.375742,1,16
95,0,http://azureauto.cloudapp.net/,1,88.77256318,1,15
96,0,http://azureauto.cloudapp.net/,1,91.8525641,1,15
97,0,http://azureauto.cloudapp.net/,15,85.93266067,1,15
98,0,http://azureauto.cloudapp.net/,67.5,87.8533243,1,15
99,0,http://azureauto.cloudapp.net/,120,97.14502165,1,15
100,0,http://azureauto.cloudapp.net/,157.5,105.2734789,1,15
101,0,http://azureauto.cloudapp.net/,172.5,111.6123174,1,15
102,0,http://azureauto.cloudapp.net/,187.5,118.2838973,1,15
103,0,http://azureauto.cloudapp.net/,202.5,126.989348,1,15
104,0,http://azureauto.cloudapp.net/,217.5,137.0136151,1,15
105,0,http://azureauto.cloudapp.net/,232.5,147.1267346,1,15
106,0,http://azureauto.cloudapp.net/,247.5,164.4655316,1,15
107,0,http://azureauto.cloudapp.net/,262.5,197.3496777,1,15
108,0,http://azureauto.cloudapp.net/,277.5,243.4384288,1,15
109,0,http://azureauto.cloudapp.net/,286,286.5473782,1,15
110,0,http://azureauto.cloudapp.net/,297,203.8857484,1,15
111,0,http://azureauto.cloudapp.net/,308,591.1048943,1,15
112,0,http://azureauto.cloudapp.net/,319,1898.878525,1,15
113,0,http://azureauto.cloudapp.net/,330,4142.936926,1,15
114,0,http://azureauto.cloudapp.net/,1,84.61290323,1,14
115,0,http://azureauto.cloudapp.net/,1,78.83275261,1,14
116,0,http://azureauto.cloudapp.net/,14,79.43563654,1,14
117,0,http://azureauto.cloudapp.net/,63,87.54481145,1,14
118,0,http://azureauto.cloudapp.net/,112,96.91088177,1,14
119,0,http://azureauto.cloudapp.net/,147,104.0643767,1,14
120,0,http://azureauto.cloudapp.net/,161,109.9386694,1,14
121,0,http://azureauto.cloudapp.net/,175,116.4498814,1,14
122,0,http://azureauto.cloudapp.net/,189,128.1415916,1,14
123,0,http://azureauto.cloudapp.net/,203,135.9694164,1,14
124,0,http://azureauto.cloudapp.net/,217,141.0302093,1,14
125,0,http://azureauto.cloudapp.net/,231,156.89753,1,14
126,0,http://azureauto.cloudapp.net/,245,176.9803759,1,14
127,0,http://azureauto.cloudapp.net/,259,216.5455023,1,14
128,0,http://azureauto.cloudapp.net/,266.9333333,245.8170272,1,14
129,0,http://azureauto.cloudapp.net/,277.2,351.0292924,1,14
130,0,http://azureauto.cloudapp.net/,287.4666667,510.2087524,1,14
131,0,http://azureauto.cloudapp.net/,297.7333333,1014.930178,1,14
132,0,http://azureauto.cloudapp.net/,308,2927.265717,1,14
133,0,http://azureauto.cloudapp.net/,1,90.01736111,1,13
134,0,http://azureauto.cloudapp.net/,1,85.50724638,1,13
135,0,http://azureauto.cloudapp.net/,13,78.48884222,1,13
136,0,http://azureauto.cloudapp.net/,58.5,87.60753305,1,13
137,0,http://azureauto.cloudapp.net/,104,96.59446621,1,13
138,0,http://azureauto.cloudapp.net/,136.5,103.8067218,1,13
139,0,http://azureauto.cloudapp.net/,149.5,109.5936208,1,13
140,0,http://azureauto.cloudapp.net/,162.5,115.381004,1,13
141,0,http://azureauto.cloudapp.net/,175.5,119.6214529,1,13
142,0,http://azureauto.cloudapp.net/,188.5,133.7822063,1,13
143,0,http://azureauto.cloudapp.net/,201.5,141.9383525,1,13
144,0,http://azureauto.cloudapp.net/,214.5,156.1049515,1,13
145,0,http://azureauto.cloudapp.net/,227.5,176.9512988,1,13
146,0,http://azureauto.cloudapp.net/,240.5,220.3241781,1,13
147,0,http://azureauto.cloudapp.net/,247.8666667,245.0921883,1,13
148,0,http://azureauto.cloudapp.net/,257.4,329.9085264,1,13
149,0,http://azureauto.cloudapp.net/,266.9333333,421.6699431,1,13
150,0,http://azureauto.cloudapp.net/,276.4666667,839.2792099,1,13
151,0,http://azureauto.cloudapp.net/,286,1438.278925,1,13
152,0,http://azureauto.cloudapp.net/,1,85.54491018,1,12
153,0,http://azureauto.cloudapp.net/,1,82.75,1,12
154,0,http://azureauto.cloudapp.net/,12,78.85774059,1,12
155,0,http://azureauto.cloudapp.net/,54,87.86660681,1,12
156,0,http://azureauto.cloudapp.net/,96,95.98411987,1,12
157,0,http://azureauto.cloudapp.net/,126,106.5186855,1,12
158,0,http://azureauto.cloudapp.net/,138,110.2415657,1,12
159,0,http://azureauto.cloudapp.net/,150,114.1728894,1,12
160,0,http://azureauto.cloudapp.net/,162,129.590026,1,12
161,0,http://azureauto.cloudapp.net/,174,135.0920417,1,12
162,0,http://azureauto.cloudapp.net/,186,141.9291876,1,12
163,0,http://azureauto.cloudapp.net/,198,161.5779543,1,12
164,0,http://azureauto.cloudapp.net/,210,184.0364501,1,12
165,0,http://azureauto.cloudapp.net/,222,218.4763047,1,12
166,0,http://azureauto.cloudapp.net/,228.8,265.0921883,1,12
167,0,http://azureauto.cloudapp.net/,237.6,319.9085264,1,12
168,0,http://azureauto.cloudapp.net/,246.4,447.6699431,1,12
169,0,http://azureauto.cloudapp.net/,255.2,842.2792099,1,12
170,0,http://azureauto.cloudapp.net/,264,1638.278925,1,12
171,0,http://azureauto.cloudapp.net/,1,97.6295082,1,11
172,0,http://azureauto.cloudapp.net/,1,84.87671233,1,11
173,0,http://azureauto.cloudapp.net/,11,78.02461059,1,11
174,0,http://azureauto.cloudapp.net/,49.5,87.31963406,1,11
175,0,http://azureauto.cloudapp.net/,88,98.89144804,1,11
176,0,http://azureauto.cloudapp.net/,115.5,104.6655926,1,11
177,0,http://azureauto.cloudapp.net/,126.5,109.8845647,1,11
178,0,http://azureauto.cloudapp.net/,137.5,113.3226601,1,11
179,0,http://azureauto.cloudapp.net/,148.5,119.1369485,1,11
180,0,http://azureauto.cloudapp.net/,159.5,129.0114044,1,11
181,0,http://azureauto.cloudapp.net/,170.5,139.0659422,1,11
182,0,http://azureauto.cloudapp.net/,181.5,149.4746195,1,11
183,0,http://azureauto.cloudapp.net/,192.5,167.7065752,1,11
184,0,http://azureauto.cloudapp.net/,203.5,194.6311018,1,11
185,0,http://azureauto.cloudapp.net/,209.7333333,1258.211329,1,11
