instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,instanceCount,No of client,delay,Throughput,
1,1,332,0,1,3,335,0,1,6,341,1,1,11,349,2,1,17,357,2,1,22,362,3,1,28,394,4,1,33,410,5,1,39,451,6,1,44,560,6,1,50,583,8,1,55,620,9,1,61,665,10,1,66,757,10,1,72,943,12,1,77,1352,10,1,83,1565,14,1,88,1855,11,1,110,3584,12,1,132,4777,12,1,220,10298,13,1,440,23014,16,1,880,43089,20,
2,1,335,0,2,5,339,0,2,11,347,1,2,22,368,3,2,33,387,5,2,44,396,7,2,55,410,9,2,66,443,10,2,77,455,12,2,88,491,14,2,99,545,16,2,110,593,18,2,121,612,19,2,132,770,20,2,143,1095,21,2,154,1162,22,2,165,1349,24,2,176,1924,23,2,220,3252,24,2,264,4688,25,2,440,10355,27,2,880,23262,31,2,1760,42929,41,
3,1,340,0,3,7,346,1,3,17,350,2,3,33,359,5,3,50,379,8,3,66,390,11,3,83,400,13,3,99,422,16,3,116,432,19,3,132,461,22,3,149,528,24,3,165,561,27,3,182,585,29,3,198,762,31,3,215,813,34,3,231,1041,34,3,248,1180,36,3,264,1849,35,3,330,3026,37,3,396,4812,37,3,660,10761,40,3,1320,23874,47,3,2640,42526,63,
4,1,333,0,4,9,343,1,4,22,352,3,4,44,355,7,4,66,362,11,4,88,385,15,4,110,392,19,4,132,420,21,4,154,428,26,4,176,440,29,4,198,454,32,4,220,542,36,4,242,649,39,4,264,717,41,4,286,728,45,4,308,1093,45,4,330,1300,48,4,352,1794,47,4,440,3156,50,4,528,5236,49,4,880,11210,53,4,1760,23937,63,4,3520,41685,86,
5,2,330,0,5,11,334,1,5,28,345,4,5,55,356,9,5,83,363,13,5,110,374,18,5,138,402,23,5,165,413,27,5,193,423,32,5,220,464,36,5,248,471,41,5,275,541,45,5,303,550,50,5,330,827,51,5,358,1194,54,5,385,1304,57,5,413,1763,58,5,440,2067,58,5,550,3717,60,5,660,5431,60,5,1100,10889,67,5,2200,23900,78,5,4400,41386,108,
6,2,338,0,6,14,341,2,6,33,346,5,6,66,347,11,6,99,372,16,6,132,383,22,6,165,391,27,6,198,420,32,6,231,436,38,6,264,477,43,6,297,494,49,6,330,565,54,6,363,590,59,6,396,748,63,6,429,820,67,6,462,1171,68,6,495,1369,72,6,528,1846,71,6,660,3310,74,6,792,5101,74,6,1320,11130,80,6,2640,23770,95,6,5280,41503,130,
7,2,315,0,7,16,342,2,7,39,348,6,7,77,358,12,7,116,393,19,7,154,414,26,7,193,430,32,7,231,445,38,7,270,454,44,7,308,488,51,7,347,525,56,7,385,644,63,7,424,691,68,7,462,802,72,7,501,954,78,7,539,1142,80,7,578,1600,82,7,616,1943,82,7,770,3374,86,7,924,5096,87,7,1540,10872,95,7,3080,23777,111,7,6160,41215,152,
8,2,340,0,8,18,345,3,8,44,351,7,8,88,353,14,8,132,367,22,8,176,385,29,8,220,413,37,8,264,448,43,8,308,460,50,8,352,535,57,8,396,568,65,8,440,704,70,8,484,743,78,8,528,837,83,8,572,949,89,8,616,1306,91,8,660,1486,94,8,704,1921,95,8,880,3520,98,8,1056,6040,93,8,1760,11004,108,8,3520,23489,128,8,7040,41113,174,
9,2,335,0,9,20,340,3,9,50,348,8,9,99,357,17,9,149,363,25,9,198,374,33,9,248,429,41,9,297,495,49,9,347,589,56,9,396,601,64,9,446,647,72,9,495,678,79,9,545,715,88,9,594,938,93,9,644,1077,102,9,693,1320,103,9,743,1693,109,9,792,1985,106,9,990,3493,110,9,1188,4987,113,9,1980,10938,122,9,3960,23889,143,9,7920,41115,196,
10,3,341,0,10,22,343,4,10,55,345,9,10,110,352,18,10,165,374,28,10,220,412,36,10,275,427,46,10,330,465,54,10,385,544,63,10,440,629,71,10,495,645,81,10,550,717,89,10,605,787,98,10,660,994,102,10,715,1104,112,10,770,1338,114,10,825,1600,120,10,880,2022,118,10,1100,3442,122,10,1320,5151,124,10,2200,10968,135,10,4400,23489,160,10,8800,40916,219,
