Global Slot No,Start Time,Time taken (Sec),No of instance,No of clients,Total average time,Average throughput,Completed sessions,Average session time,Ratio
0,Fri Sep 27 02:26:32 EDT 2013,282,1,1,332,0,0,0,0.05
1,Fri Sep 27 02:31:14 EDT 2013,284,1,3,335,0,0,0,0.14
2,Mon Sep 23 01:23:04 EDT 2013,292,1,6,341,1,2,143,0.27
3,Fri Sep 27 02:35:58 EDT 2013,292,1,11,349,2,2,150,0.5
4,Fri Sep 27 02:40:50 EDT 2013,300,1,17,357,2,0,0,0.77
5,Mon Sep 23 01:27:56 EDT 2013,302,1,22,362,3,1,149,1
6,Fri Sep 27 02:45:50 EDT 2013,305,1,28,394,4,0,0,1.27
7,Mon Sep 23 01:32:59 EDT 2013,307,1,33,410,5,2,224,1.5
8,Fri Sep 27 02:50:56 EDT 2013,312,1,39,451,6,1,137,1.77
9,Mon Sep 23 01:38:06 EDT 2013,316,1,44,560,6,1,45,2
10,Fri Sep 27 02:56:08 EDT 2013,316,1,50,583,8,1,93,2.27
11,Mon Sep 23 01:43:22 EDT 2013,316,1,55,620,9,4,159,2.5
12,Fri Sep 27 03:01:24 EDT 2013,315,1,61,665,10,5,239,2.77
13,Mon Sep 23 01:48:38 EDT 2013,323,1,66,757,10,3,121,3
14,Fri Sep 27 03:06:40 EDT 2013,318,1,72,943,12,4,156,3.27
15,Mon Sep 23 01:54:01 EDT 2013,322,1,77,1352,10,3,205,3.5
16,Fri Sep 27 03:11:58 EDT 2013,320,1,83,1565,14,5,109,3.77
17,Mon Sep 23 01:59:23 EDT 2013,328,1,88,1855,11,5,164,4
18,Mon Sep 23 02:04:51 EDT 2013,331,1,110,3584,12,6,159,5
19,Mon Sep 23 02:10:23 EDT 2013,337,1,132,4777,12,3,158,6
20,Mon Sep 23 02:16:00 EDT 2013,351,1,220,10298,13,1,192,10
21,Mon Sep 23 02:21:52 EDT 2013,370,1,440,23014,16,2,189,20
22,Mon Sep 23 05:32:16 EDT 2013,426,1,880,43089,20,4,299,40
0,Fri Sep 27 15:40:37 EDT 2013,282,2,1,335,0,0,0,0.02
